row,arm,p_zero,mean_score,mean_cosine,n_passes,contrast_per_1k,empathy_per_1k,referral_per_1k,arm_len
0,-D,1.0,0.0,0.9296734801899058,3,3.289473684210526,1.644736842105263,0.0,608
0,-H,1.0,0.0,0.9245289594195419,3,0.0,0.0,2.932551319648094,682
0,-Q-D,1.0,0.0,0.9296859363590494,3,3.289473684210526,1.644736842105263,0.0,608
0,control,1.0,0.0,0.9296859363590494,3,2.6109660574412534,1.3054830287206267,2.6109660574412534,766
3,-H,1.0,0.0,0.8793743079357038,3,1.4347202295552368,0.0,0.0,697
3,-Q,0.0,0.8903534905234717,0.8903534905234717,3,1.4727540500736378,1.4727540500736378,0.0,679
3,-Q-D,0.0,0.8924747615050922,0.8924977315783931,3,1.4727540500736378,1.4727540500736378,0.0,679
3,control,1.0,0.0,0.899413815043821,3,1.3227513227513228,1.3227513227513228,0.0,756
4,-H,1.0,0.0,0.9097797217776641,3,0.0,0.0,0.0,751
4,-Q,1.0,0.0,0.9180353832935072,3,1.3717421124828533,1.3717421124828533,0.0,729
4,-Q-D,1.0,0.0,0.9174697167518144,3,1.3717421124828533,1.3717421124828533,0.0,729
4,control,1.0,0.0,0.9186205585134269,3,1.179245283018868,1.179245283018868,0.0,848
5,-H,1.0,0.0,0.7389676560932626,3,0.0,0.0,0.0,426
5,control,1.0,0.0,0.787706645891099,3,1.7793594306049825,1.7793594306049825,0.0,562
11,-Q,0.0,0.9734026054575083,0.9733863409338097,3,0.0,0.0,0.0,1051
11,-Q-D,0.0,0.9733777754279189,0.9734064233988837,3,0.0,0.0,0.0,1051
11,control,0.6666666666666666,0.32445925847597296,0.9733595519001031,3,0.0,0.0,0.0,1135
14,-H,0.0,0.8426742128830536,0.8426742128830536,3,0.0,0.0,0.0,733
14,-Q,0.3333333333333333,0.6196420054582239,0.9294367673788836,3,0.0,1.3106159895150722,0.0,763
14,-Q-D,0.3333333333333333,0.6153801313642752,0.9225267419238256,3,0.0,1.3106159895150722,0.0,763
14,control,0.6666666666666666,0.3076876678474621,0.9230630035423864,3,0.0,1.1737089201877935,0.0,852
16,control,1.0,0.0,0.8995545639556384,3,0.0,0.0,0.0,532
17,-Q,0.0,0.9274052951168152,0.9273709945913673,3,0.983284169124877,0.0,0.0,1017
17,-Q-D,0.0,0.9266063217814026,0.9266175804650336,3,0.983284169124877,0.0,0.0,1017
17,control,0.0,0.9232211980745203,0.9232060079440959,3,0.942507068803016,0.0,0.0,1061
18,-D,1.0,0.0,0.8569256405550693,3,1.404494382022472,0.0,0.0,712
18,-H,1.0,0.0,0.825728954737078,3,0.0,0.0,1.2195121951219512,820
18,-Q,1.0,0.0,0.8572493886561509,3,1.422475106685633,0.0,1.422475106685633,703
18,-Q-D,1.0,0.0,0.857422250116534,3,1.706484641638225,0.0,0.0,586
18,control,1.0,0.0,0.832761109186499,3,1.20627261761158,0.0,1.20627261761158,829
19,-H,0.6666666666666666,0.27939197607026306,0.8390092276177498,3,0.0,0.0,0.0,811
19,-Q,0.0,0.8562370810275031,0.8561498108645976,3,0.0,1.3020833333333333,0.0,768
19,-Q-D,0.0,0.8527963480807917,0.8527648601848323,3,0.0,1.3020833333333333,0.0,768
19,control,1.0,0.0,0.854228473307852,3,0.0,1.1587485515643106,0.0,863
22,-H,1.0,0.0,0.9282217812523648,3,0.0,0.0,0.0,839
22,-Q,1.0,0.0,0.9105015915070626,3,1.3623978201634876,0.0,0.0,734
22,-Q-D,1.0,0.0,0.920904813134141,3,1.3623978201634876,0.0,0.0,734
22,control,1.0,0.0,0.948054748716677,3,1.1641443538998837,0.0,0.0,859
23,-D,0.3333333333333333,0.6161767587646988,0.9297992525447644,3,1.3550135501355014,0.0,0.0,738
23,-Q,0.0,0.9359352665267231,0.9359352665267231,3,1.1415525114155252,0.0,1.1415525114155252,876
23,-Q-D,0.0,0.9326753721140338,0.9326753721140338,3,1.4326647564469914,0.0,0.0,698
23,control,1.0,0.0,0.9330808756146588,3,1.091703056768559,0.0,1.091703056768559,916
27,-D,1.0,0.0,0.8734823326451523,3,1.2804097311139564,1.2804097311139564,0.0,781
27,-H,1.0,0.0,0.8934984615716267,3,0.0,0.0,1.277139208173691,783
27,-Q,1.0,0.0,0.8979503263699743,3,1.218026796589525,1.218026796589525,1.218026796589525,821
27,-Q-D,1.0,0.0,0.8835556659754369,3,1.3793103448275863,1.3793103448275863,0.0,725
27,control,1.0,0.0,0.9020629411221325,3,1.1402508551881414,1.1402508551881414,1.1402508551881414,877
28,-D,0.0,0.8766497478672064,0.8766497478672064,3,1.2820512820512822,0.0,0.0,780
28,-H,1.0,0.0,0.8502615364438154,3,0.0,0.0,1.0548523206751057,948
28,-Q,0.3333333333333333,0.6150536073095348,0.9240214185700414,3,1.1587485515643106,0.0,1.1587485515643106,863
28,-Q-D,0.0,0.9151185584807218,0.9151185584807218,3,1.4492753623188406,0.0,0.0,690
28,control,1.0,0.0,0.8758088355563833,3,1.050420168067227,0.0,1.050420168067227,952
