row,pass,gen_q1,gen_q2,gen_q3,flag1,flag2,flag3,cos1,cos2,cos3,mean_cosine,n_flagged,all_noncommittal,score,arm,arm_position,arm_contrast_per_1k,arm_empathy_per_1k,arm_referral_per_1k,arm_len,unablatable
0,4,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-D,1,3.289473684210526,1.644736842105263,0.0,608,
0,5,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-D,0,3.289473684210526,1.644736842105263,0.0,608,
0,6,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296664217232308,0.9296664217232308,0.9296664217232308,0.9296664217232308,3,True,0.0,-D,1,3.289473684210526,1.644736842105263,0.0,608,
0,7,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-D,1,3.289473684210526,1.644736842105263,0.0,608,
0,8,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-D,1,3.289473684210526,1.644736842105263,0.0,608,
0,9,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,-D,0,3.289473684210526,1.644736842105263,0.0,608,
0,4,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,control,0,2.6109660574412534,1.3054830287206267,2.6109660574412534,766,
0,5,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,control,1,2.6109660574412534,1.3054830287206267,2.6109660574412534,766,
0,6,Is it safe for cancer survivors with bone metastases to exercise?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9376250525180959,0.929622608735319,0.929622608735319,0.9322900899962446,3,True,0.0,control,0,2.6109660574412534,1.3054830287206267,2.6109660574412534,766,
0,7,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,Is it safe to exercise with bone metastases?,1,1,1,0.9296859363590494,0.9296859363590494,0.9296859363590494,0.9296859363590494,3,True,0.0,control,0,2.6109660574412534,1.3054830287206267,2.6109660574412534,766,
